TIME,ALTITUDE,PRESSURE,VOLTAGE,GYRO_R,ACC_R,GNSS_ALTITUDE
1,0,100255,7,0,-0.19,56.3
,,,,,,
2,0.3,100249,7.03,0.02,-0.39,56.3
,,,,,,
2,1,100241,7.01,-0.02,-0.12,56.2
,,,,,,
4,0,100254,7.01,-0.04,0.09,56.3
,,,,,,
5,0,100253,7.03,-0.02,0.36,56.3
,,,,,,
6,0,100257,7.03,0.04,-0.34,56.3
,,,,,,
7,0,100252,7.03,-0.06,-0.3,56.3
,,,,,,
8,0,100255,7.03,-0.06,-0.3,56.3
,,,,,,
9,0,100255,7.03,0.05,0.36,56.2
,,,,,,
10,0,100255,7.03,0.05,-0.18,56.2
,,,,,,
11,0,100254,7.03,-0.03,0.17,56.2
,,,,,,
12,0,100253,7.02,0,0.44,56.1
,,,,,,
13,0.4,100248,7.01,0.01,0.05,56.1
,,,,,,
14,0,100256,7.03,0,-0.11,56.1
,,,,,,
15,1.2,100238,7.03,0,-0.07,56.1
,,,,,,
16,0,100257,7.03,0,0.2,56.1
,,,,,,
17,0,100255,7.03,0,0.07,56.1
,,,,,,
18,0.4,100248,7.03,-0.03,-0.16,56
,,,,,,
19,0,100253,7.01,0,0.26,55.9
,,,,,,
20,0,100255,7.03,0,-0.11,55.9
,,,,,,
21,0,100255,7.03,0.01,-0.02,55.9
,,,,,,
22,0.8,100244,7.02,0,-0.07,55.9
,,,,,,
23,0.3,100249,7.01,0,-0.01,55.9
,,,,,,
24,0.3,100250,7.02,0,-0.05,55.8
,,,,,,
25,0,100255,7.03,0,-0.12,55.8
,,,,,,
26,0,100253,7.03,0,0.03,55.8
,,,,,,
27,1.5,100236,6.99,0,0.15,55.8
,,,,,,
28,0.6,100246,7.03,0,-0.14,55.8
,,,,,,
29,0,100255,7.01,0,-0.33,55.8
,,,,,,
30,0.2,100251,7.01,0,0,55.7
,,,,,,
31,0,100254,6.98,0,-0.25,55.6
,,,,,,
32,0.2,100251,7,0,0.04,55.6
,,,,,,
33,1.1,100240,6.99,0,-0.07,55.8
,,,,,,
34,0,100254,7,0,0,55.9
,,,,,,
35,0,100257,6.97,0,-0.12,55.9
,,,,,,
36,0,100258,7,0,0.1,55.8
,,,,,,
37,0,100256,6.99,0,-0.14,55.8
,,,,,,
38,0,100254,7.03,0,-0.11,55.9
,,,,,,
39,1.4,100237,7.02,0,0.05,55.8
,,,,,,
40,0,100255,7.03,0.09,-0.83,55.4
,,,,,,
41,0,100256,7.03,0.07,0,55
,,,,,,
42,0,100257,7.03,-0.14,-0.32,55
,,,,,,
43,0,100254,6.97,0.05,0.38,55.1
,,,,,,
44,0,100254,7,0.01,0.98,55.1
,,,,,,
45,0,100252,6.98,-0.13,-3.44,55.1
,,,,,,
46,0,100283,7.01,0.09,0.43,54.9
,,,,,,
47,1.7,100233,6.99,0.02,2.44,55.1
,,,,,,
48,3.6,100211,6.96,0.02,-0.32,55.5
,,,,,,
49,5.9,100183,6.94,0.04,1.02,56
,,,,,,
50,7.8,100161,6.96,0.03,1.44,56.6
,,,,,,
51,10.9,100123,7,0.07,0.69,57.2
,,,,,,
52,12.1,100109,6.97,0.02,-1.21,57.8
,,,,,,
53,14.3,100083,6.98,0.01,-1.55,58.5
,,,,,,
54,17.5,100046,6.96,0.04,1.7,59.1
,,,,,,
55,18.6,100032,7.01,0.06,-0.68,59.8
,,,,,,
56,21.9,99993,6.9,0,-0.16,60.5
,,,,,,
57,25,99956,6.66,0.02,-0.17,61.2
,,,,,,
58,26.1,99943,6.96,-0.04,0.3,61.9
,,,,,,
59,27.8,99923,6.79,-0.08,0.77,62.7
,,,,,,
60,31,99886,7,0,0.5,63.4
,,,,,,
61,32.6,99867,6.95,0,-0.43,64.2
,,,,,,
62,35.2,99836,7.01,0.03,-0.97,65
,,,,,,
63,37.8,99805,6.8,-0.04,-0.49,65.8
,,,,,,
64,40.1,99777,7.03,0.04,2.75,66.6
,,,,,,
67,42.7,99746,6.95,0.05,-1.12,67.5
,,,,,,
68,44.2,99729,6.45,0,1.57,68.3
,,,,,,
69,46.7,99700,6.97,-0.04,1.48,69.1
,,,,,,
70,49.4,99667,7,0,-0.69,69.9
,,,,,,
71,51.8,99639,6.95,0,-0.9,70.7
,,,,,,
72,54.2,99611,7.03,-0.01,-0.99,71.6
,,,,,,
73,56.5,99583,6.99,0,0.24,72.5
,,,,,,
74,58.4,99561,6.73,0,0.25,73.3
,,,,,,
75,61,99530,6.98,0.04,-3.12,74.2
,,,,,,
76,62.9,99508,7,-0.05,0.06,75.1
,,,,,,
77,65.5,99477,6.96,-0.02,-0.25,76
,,,,,,
78,67.5,99453,6.95,-0.01,-0.97,76.9
,,,,,,
79,12.4,96998,6.96,-0.03,1.07,0
,,,,,,
80,12.5,96996,6.84,-0.03,1.19,182.8
,,,,,,
81,13.4,96986,6.94,0.04,-2.39,183.9
,,,,,,
82,15.9,96959,6.91,-0.02,0.35,185.1
,,,,,,
83,18.7,96926,6.78,-0.01,0.51,186.2
,,,,,,
84,20.8,96901,6.99,0.1,-2.66,187.4
,,,,,,
85,22.8,96878,6.87,0.02,0.58,188.5
,,,,,,
86,27,96830,6.81,-0.03,0.44,189.7
,,,,,,
87,548.4,94909,6.46,0.05,14.95,524.3
,,,,,,
88,549.9,94892,6.94,-0.06,16.7,525.7
,,,,,,
89,552.3,94865,6.96,0.01,15.2,527.3
,,,,,,
90,555,94833,6.97,-0.05,17.38,528.6
,,,,,,
91,557.9,94801,6.94,0.01,15.52,530.2
,,,,,,
92,559.8,94779,6.98,-0.08,16.76,532
,,,,,,
93,561.9,94755,6.91,-0.11,17.57,533.8
,,,,,,
94,564.7,94723,6.96,-0.07,16.58,535.3
,,,,,,
95,567.2,94695,6.91,-0.02,17.47,536.7
,,,,,,
96,569.3,94671,6.96,-0.09,17.34,538.2
,,,,,,
97,571.6,94644,6.96,0.01,14.85,539.7
,,,,,,
98,573.7,94620,6.79,-0.04,16.8,540.9
,,,,,,
99,576.5,94586,6.96,-0.06,17.35,542.2
,,,,,,
100,578.4,94568,6.81,0.02,15.84,543.6
,,,,,,
101,580.7,94541,6.95,-0.04,16.34,545.1
,,,,,,
102,584.1,94502,6.8,-0.06,15.61,546.5
,,,,,,
103,585.5,94487,6.54,-0.03,17.77,547.9
,,,,,,
104,589.5,94442,6.73,-0.03,15.85,548.7
,,,,,,
105,589.8,94438,6.93,0,15.67,549.8
,,,,,,
106,591.9,94414,6.95,-0.09,17.78,551.1
,,,,,,
107,594.7,94382,6.97,0.04,15.84,552.5
,,,,,,
108,597.3,94353,6.67,-0.11,17.03,553.9
,,,,,,
109,690.3,93303,6.93,-0.09,17.57,623
,,,,,,
110,692.7,93276,6.92,-0.08,16.2,624.1
,,,,,,
111,696.3,93237,6.93,-0.05,15.72,625.2
,,,,,,
112,697.6,93221,6.94,-0.05,15.55,626.1
,,,,,,
113,699.3,93202,6.95,-0.06,17.15,627.2
,,,,,,
114,702,93172,6.6,-0.07,17.22,628.4
,,,,,,
115,704,93149,6.94,-0.06,17.99,629.6
,,,,,,
116,750.9,92625,6.89,-0.08,16.07,655.3
,,,,,,
117,753.1,92599,6.91,-0.04,15.6,656.3
,,,,,,
118,753.9,92591,6.96,-0.05,18.58,656.3
,,,,,,
119,756,92568,6.94,-0.01,17.88,656.3
,,,,,,
120,759.2,92532,6.42,-0.05,17.03,656.3
,,,,,,
121,760,92523,6.55,-0.04,16.31,656.3
,,,,,,
122,762.9,92491,6.79,-0.01,16.17,656.3
,,,,,,
123,766.2,92453,6.94,-0.11,16.29,656.3
,,,,,,
124,767.6,92439,6.96,-0.08,15.87,656.3
,,,,,,
125,769.8,92413,6.8,0.04,14.43,656.3
,,,,,,
126,772.3,92386,6.95,-0.03,16.28,656.3
,,,,,,
127,774.4,92363,6.79,0.02,16.95,656.3
,,,,,,
128,776.9,92334,6.88,0,17.83,656.3
,,,,,,
129,780.3,92297,6.99,-0.08,16.59,656.3
,,,,,,
130,782.8,92269,6.85,-0.09,15.78,656.3
,,,,,,
131,784.2,92254,6.96,-0.07,18.44,656.3
,,,,,,
132,786.4,92228,6.79,-0.05,19.13,656.3
,,,,,,
133,790.1,92188,6.54,-0.07,15.75,656.3
,,,,,,
134,790.7,92181,6.88,-0.02,19.48,656.3
,,,,,,
135,795.3,92130,6.93,-0.04,16.67,656.3
,,,,,,
136,795.4,92129,6.58,-0.07,18.15,670
,,,,,,
137,798.3,92096,6.88,-0.08,16.89,671.2
,,,,,,
138,800.2,92075,6.76,-0.11,18.44,672.2
,,,,,,
139,803.1,92043,6.73,-0.07,14.03,672.9
,,,,,,
140,839.9,91635,6.8,-0.05,16.83,717
,,,,,,
141,839.3,91641,6.93,-0.04,16.75,717
,,,,,,
142,840,91633,6.88,-0.06,18.28,717
,,,,,,
143,840.2,91632,6.55,-0.09,15.37,717
,,,,,,
144,840.4,91629,6.98,-0.07,13.29,717
,,,,,,
145,839.6,91639,6.56,0,16.54,717
,,,,,,
146,837.9,91657,6.91,-0.02,17.4,732.6
,,,,,,
147,838.2,91653,6.63,0.06,15.66,733.9
,,,,,,
148,837.7,91659,6.85,-0.1,17.5,735.1
,,,,,,
149,837.9,91657,6.64,-0.04,16.35,736.7
,,,,,,
150,837.7,91659,6.5,-0.09,16.17,738.1
,,,,,,
151,838.3,91653,6.46,-0.14,16.52,739.6
,,,,,,
152,837.7,91660,6.59,-0.04,16.69,741.5
,,,,,,
153,838.2,91653,6.92,0.03,16.81,743.6
,,,,,,
154,838.5,91650,6.78,0,16.96,745.8
,,,,,,
155,838.6,91649,6.92,-0.02,16.5,747.1
,,,,,,
156,838.6,91649,6.77,-0.07,18.91,744.1
,,,,,,
157,839.7,91637,6.54,0.03,15.77,745.4
,,,,,,
158,838.3,91651,6.97,0.01,14.85,745.4
,,,,,,
159,838.8,91647,6.91,-0.06,18.06,745.4
,,,,,,
160,839.3,91641,6.57,-0.04,16.62,745.4
,,,,,,
161,838.2,91653,6.44,-0.09,15.12,745.4
,,,,,,
162,838,91656,6.65,0.05,13.21,746.2
,,,,,,
163,836,91678,6.96,0.02,14.3,745.8
,,,,,,
164,834.2,91698,6.5,-0.04,17.76,745.4
,,,,,,
165,833.9,91701,6.56,-0.11,16.34,744.9
,,,,,,
166,829.8,91746,6.53,-0.08,14.61,744.9
,,,,,,
167,828,91767,6.8,-0.06,15.73,744.9
,,,,,,
168,826.2,91787,6.95,-0.08,17.02,744.9
,,,,,,
169,824.3,91807,6.95,-0.12,18.87,744.9
,,,,,,
170,822.6,91827,6.88,-0.14,16.05,744.9
,,,,,,
171,837,91667,6.9,0.15,15.54,765
,,,,,,
172,837.2,91664,6.41,-0.05,16.88,766.7
,,,,,,
173,838.1,91655,6.49,-0.13,15.46,768.6
,,,,,,
174,838.5,91650,6.55,-0.2,18.59,770.2
,,,,,,
175,839,91645,6.79,-0.15,18.45,771.9
,,,,,,
176,837.5,91661,6.53,-0.02,14.91,773.5
,,,,,,
177,839.2,91642,6.41,-0.02,16.76,775.2
,,,,,,
178,837.8,91658,6.92,0.07,15.41,771.7
,,,,,,
179,837.6,91660,6.96,-0.08,16.34,772.6
,,,,,,
180,838.1,91654,6.8,-0.21,16,771.2
,,,,,,
181,838.2,91653,6.88,0.07,16.35,773.1
,,,,,,
182,838.8,91647,6.71,0.14,14.71,773.1
,,,,,,
183,838.5,91650,6.95,0.07,15.49,773.1
,,,,,,
184,838.4,91651,6.95,-0.01,17.45,773.1
,,,,,,
185,838.2,91654,6.94,-0.07,16.55,773.1
,,,,,,
186,838.4,91651,6.54,-0.1,14.87,773.1
,,,,,,
187,838.4,91652,6.71,-0.06,15.49,773.1
,,,,,,
188,837.9,91657,6.51,-0.02,15.67,773.1
,,,,,,
189,838.1,91655,6.89,-0.04,16.18,773.1
,,,,,,
190,838.6,91649,6.46,0.09,13.63,773.1
,,,,,,
191,838.5,91650,6.5,0.31,18.87,773.1
,,,,,,
192,838.1,91655,6.54,0.1,15.32,773.1
,,,,,,
193,838.5,91651,6.45,-0.06,19.04,773.1
,,,,,,
194,838,91656,6.76,0,16.24,773.1
,,,,,,
195,838.2,91653,6.95,-0.09,15.2,773.1
,,,,,,
196,838,91655,6.39,-0.09,17.43,773.1
,,,,,,
197,838.4,91651,6.52,-0.17,17.54,773.1
,,,,,,
198,838.7,91648,6.84,-0.02,15.9,773.1
,,,,,,
199,838.4,91652,6.42,-0.1,18.33,773.1
,,,,,,
200,838.3,91652,6.41,0.01,16.1,773.1
,,,,,,
201,838.5,91651,6.91,-0.01,17.52,773.1
,,,,,,
202,838.2,91654,6.83,-0.02,15.69,773.1
,,,,,,
203,838.2,91653,6.91,0.05,17.09,773.1
,,,,,,
204,838.5,91650,6.54,0.17,14.84,773.1
,,,,,,
205,838.4,91652,6.83,-0.04,16.17,773.1
,,,,,,
206,838.3,91653,6.94,0.02,17.23,773.1
,,,,,,
207,838.3,91652,6.75,-0.03,17.24,773.1
,,,,,,
208,838.1,91655,6.9,0.41,16.97,773.1
,,,,,,
209,838.9,91646,6.83,-3.49,13.45,773.1
